sitename,canopy_height,igbp_land_use,whc,koeppen_code,product,mat,p_over_pet,cti,aet,aet_corr,prec,prec_cond,pet,pet_over_prec,pet_over_prec_cond,aet_over_prec,aet_over_prec_cond,aet_corr_over_prec,aet_corr_over_prec_cond,cond_mean_ann
CA-NS6,4,OSH,729.70721435546875,Dfc,ameriflux,0.7254905296673315,0.42447680367372514,3.761704206466675,201.0833487859159,0,257.6709976239636,518.3872313900426,798.2302833679755,3.097866235349024,1.5398339986645515,0.7803879778482876,0.3879018166529986,0,0,260.716233766079
CA-NS7,0.25,OSH,807.2322998046875,Dfc,ameriflux,-0.19490624614790272,0.5318321840588398,4.736624717712402,338.06129412656117,0,302.2509985326473,NA,663.2335019566589,2.194313683582489,NA,1.118478667623147,NA,0,NA,NA
CA-Qcu,5.5,ENF,197.24952697753903,Dfc,plumber,1.6030536539503648,2.2839498693909563,4.91405725479126,326.4312324247533,338.62289305476173,928.9545952432868,1207.373371704769,960.4026554361552,1.0338531725381395,0.7954479351156306,0.3513963266840434,0.2703647770232367,0.3645203918347363,0.2804624493056676,278.418776461482
CA-Qfo,13.8,ENF,211.28390502929688,Dfc,ameriflux,1.9854310692209216,1.4809508528701023,5.5115532875061035,295.07006248327207,433.14534447546384,950.8375025547452,1231.6931508525618,1126.107571639062,1.184332305586806,0.9142760685643052,0.31032648763902027,0.23956458820853915,0.4555408714019724,0.35166660151974244,280.8556482978165
CA-SF1,6,ENF,887.1614990234375,Dfc,ameriflux,2.0023140376206756,0.7540598393291907,4.4785027503967285,1090.2453048098414,1317.952348345495,905.1440025307104,1187.831927299486,1774.4406923434758,1.9603960114437937,1.493848289107394,1.2044992860380255,0.9178447554347978,1.4560692493797731,1.109544471785529,282.6879247687757
CA-SF1,6,ENF,887.1614990234375,Dfc,ameriflux,2.0023140376206756,0.7540598393291907,4.4785027503967285,1090.2453048098414,1317.952348345495,905.1440025307104,1187.831927299486,1774.4406923434758,1.9603960114437937,1.493848289107394,1.2044992860380255,0.9178447554347978,1.4560692493797731,1.109544471785529,282.6879247687757
CA-SF2,4,ENF,162.57510375976562,Dfc,ameriflux,3.566410845259252,0.577220805052907,6.052735805511475,445.2071239125545,542.0623693285027,358.4973349395568,652.8393790446892,745.7915745941358,2.080326691186916,1.1423814165215724,1.241870107591224,0.6819550691994615,1.5120401645939576,0.8303150617564027,294.3420441051324
CA-SF3,1,OSH,178.11813354492188,Dfc,plumber,2.752512650184374,0.7205359083433694,5.314791202545166,658.850922550756,876.775856033203,781.6013361836438,1069.3883305961851,1785.5087705186252,2.284423897273258,1.6696542494747462,0.8429500975110327,0.6161007219738838,1.1217686248008119,0.819885378349322,287.7869944125414
CA-SF3,1,OSH,178.11813354492188,Dfc,plumber,2.752512650184374,0.7205359083433694,5.314791202545166,658.850922550756,876.775856033203,781.6013361836438,1069.3883305961851,1785.5087705186252,2.284423897273258,1.6696542494747462,0.8429500975110327,0.6161007219738838,1.1217686248008119,0.819885378349322,287.7869944125414
CA-TP1,3.5444444444444443,ENF,197.84371948242188,Dfb,ameriflux,10.356352369016788,1.0998928152170746,6.675719261169434,342.29294474608645,470.1536400798458,836.7543162381082,1176.2603858740806,1161.65547216416,1.3882873976518544,0.9875836048843322,0.40907221881444467,0.29100099676631386,0.5618777590458919,0.3997020096281437,339.5060696359724
