sitename,pet_p,aet_p,aet_corr_p_cond,aet_corr_p,aet_p_cond,pet_p_cond,res,res_corr,res_cond,res_corr_cond
ES-LJu,2.19035750953534,0.42665019885753536,0.3950014336993014,0.6480346511912345,0.26005930381504583,1.3351050827144306,-0.44155411109133963,-0.3148040034823072,-0.29221119615032665,-0.3137496728527659
ES-LM1,2.529057336785643,0.8000431584720291,0.8904681394608531,1.199025667719973,0.5941598766335608,1.8782291671534803,-0.09106227888161889,0.22498527127259504,-0.03441988346137348,0.09765558566001498
ES-LM2,2.6190467597383904,0.7677232093122782,0.838478742670712,1.146015436616614,0.561702373891,1.9162176738077383,-0.12837556538387374,0.16979307457731863,-0.0711105934980426,0.04137115700593752
ES-LMa,1.9056905933388368,0.7463715786179836,0.49851512583542623,0.7734323057330389,0.48107315750417806,1.2283112289204141,-0.09572482728701592,-0.17423890775375372,-0.05159343879944339,-0.1867756816598508
ES-LgS,3.979895999013261,0.8948549149134035,0.5663144864435876,1.0776092252215537,0.4702718663869214,2.0915492425528313,-0.04653013873119671,0.08584808680938538,-0.18068668258582643,-0.24873814083831802
ES-VDA,0.8342435519580813,0.4472161943542018,0.36444114094976354,0.509361490824868,0.3199770360686625,0.5968897872770695,-0.15721121711768304,-0.19879384389318044,-0.040457360662682296,-0.09332838164691537
FI-Hyy,0.981198210819004,0.5018321126151323,0.2769250317578481,0.4150242182154503,0.33484762484610114,0.6547047949638932,-0.1585064261119119,-0.3621277138754605,-0.04698189577253237,-0.2103672594518612
FI-Let,0.9716022074243728,0.660480778189653,0.36993331944870855,0.5747289947693326,0.4251287979751706,0.625386978989023,0.0034493457568108843,-0.19847922953347652,0.053957022408704314,-0.10266861301419439
FI-Lom,0.622737328159714,0.48916972332767256,0.29345219954092294,0.4460786658720885,0.32179958882071286,0.4096668427920441,-0.011650798883616142,-0.12755838321963214,0.04262520350226545,-0.05209593956790304
FI-Sod,0.952599590566594,0.5461175226444188,0.13085506948799305,0.19885814619805653,0.359362931519395,0.6268412333165138,-0.10423116770805385,-0.5663198615157121,-0.012346638363179507,-0.34248900109531166
FI-Var,0.9553974640283456,0.30167532788325,0.2310682368554674,0.35309257016749346,0.1974201441953622,0.62522416544900306,-0.3496686085455669,-0.41328639887031987,-0.17369136131955104,-0.24145051986488675
FR-Aur,1.6862050081901807,0.7185414554621058,0.6014831410336144,0.9460199406673632,0.45685143939918066,1.072095672779756,-0.09715620982800999,0.01627345379004208,-0.04331535425763994,-0.0434761567366323
FR-Bil,1.5320341528322192,0.6499328390362508,0.62119137073783,0.7502059175750697,0.5381624720762861,1.268566900260135,-0.1427363256540174,-0.1618116551239348,-0.002120910295454248,-0.07329671397584359
FR-Gri,1.5658162952760075,0.7234103515726905,0.6181475568834703,0.9990986342468692,0.4475777727250678,0.9687787414330796,-0.07467923479966443,0.08273534619350642,-0.0281256969365018,0.0045873035430404885
FR-LBr,1.4787345228272155,0.5923715946763655,0.576151476943917,0.7965223583193154,0.428482346550265,1.0696185366755429,-0.19127004804247738,-0.10802541248625619,-0.07112771253629607,-0.06810256290126004
FR-Lam,1.856442314482033,0.8153414485522072,0.8785310760139268,1.1520999417713875,0.6217366863277397,1.4156256805221803,-0.021384334736847643,0.207865285182109,0.055883930477518606,0.15394468359603242
FR-Lq1,0.3700094522835702,0.6811182335967698,0.0614141334573204,0.08364207606220263,0.5001105671650015,0.27167917097268174,0.34795989593295507,-0.278238009373469,0.29563294544685403,-0.18339163726125274
FR-Lq2,0.37000986269044855,0.5956369353864207,0.05680782136877459,0.0773842316941602,0.4372575120963515,0.2716245121806908,0.2624782833505849,-0.2844962324284306,0.23281252327387175,-0.18795483785045142
FR-Pue,1.4675054207098994,0.4223850079288829,0.3193080656351002,0.4485360267646112,0.3006914312054078,1.044701627594817,-0.3592765809825085,-0.454334943761102,-0.19324017916789732,-0.317726923807698
FR-Tou,1.8736019244202384,0.7201295097849546,0.6660660710273294,1.0222700592426863,0.4692046185610057,1.220756356096672,-0.11850060678784724,0.07680452889875111,-0.06200026350942167,-0.01744811242676958
HU-Bug,2.0986228654985055,0.8766858459709282,0.6067462568448421,1.0038500366185381,0.5298857758311222,1.26844799693331,0.016075433065786737,0.04515957697255435,-0.010375525770533134,-0.08771531379962383
IE-Ca1,0.7507905903409859,0.15534850969163938,0.131169575995702,0.2009798620421912,0.10138825821036164,0.49000373667246366,-0.411773322035075,-0.4592115338763336,-0.21511914985350206,-0.26580913305695
IE-Cra,0.5618645266655763,0.24598629282574497,0.2610273927570291,0.30271199041900043,0.2121130404560316,0.48449363461016054,-0.2191026629040787,-0.22446185396711693,-0.10196012470915153,-0.13258623620521054
IE-Dri,0.637080926139818,0.33070905336148076,0.3372814772412451,0.43157797553021,0.25845164577219293,0.49788359942760174,-0.17812243938910827,-0.15252318285726446,-0.0615062785653705,-0.06446895503370037
IL-Yat,7.303027044868737,1.1068073699450645,0.4881647388450978,0.9391514903110196,0.5753111572256877,3.796065200254735,0.13191725397732745,-0.05909666016377235,-0.18209103704823182,-0.41632693044802016
IT-Amp,1.5205643839968723,0.7109297302101746,0.5311452022238279,0.7559248137291228,0.4995297263184243,1.068413766242337,-0.07984708034536736,-0.1545508667776856,1.9094207647596395e-4,-0.11276502823403578
IT-BCi,0.9475060625689952,0.7280408265353676,0.5398902680347745,0.7430893657117746,0.5289567784380017,0.6884088585966462,0.0795141215205738,-0.019885606934921474,0.13533770402158563,0.03639799106276953
IT-BFt,2.0379184980737786,0.79570302747143,1.0445956463723058,1.3069068452692476,0.6359963002035378,1.6288848730537362,-0.059480035618965865,0.3513135846201396,0.038365192348006394,0.2843974766333688
IT-CA1,0.9629239270942628,0.9847219609193568,0.4594955073314923,0.7026922886652509,0.6439167247339074,0.6296628346986034,0.3307202038119387,-0.06688530489588884,0.27116646445728543,-0.01528444498463527
IT-CA2,0.9120689270452133,0.6519647168190106,0.5525891715321145,0.8436418948065861,0.42703977238800134,0.597409180220532,0.01648410127715616,0.0966011661384586,0.06640623128747564,0.09454432573487792
IT-CA3,1.6116421325117751,0.8499323607390104,0.6356308124310404,0.9752250208816264,0.5539677360611365,1.0504338753639275,0.04483858038369837,0.053402973457901126,0.058717008543155536,-0.00308531777869292
IT-Col,1.093734322876215,0.35391938501250053,0.4062671697821518,0.5327422002887312,0.26989757297646116,0.834077622549319,-0.34204670388450353,-0.2854532970959882,-0.16959680631529533,-0.15947790529188288
IT-Cp2,1.693083166792814,0.648324249722081,0.4373903743218211,0.7014172124867369,0.4042826169926887,1.0557743193327838,-0.16830526291967007,-0.22900595515303424,-0.09219015482010656,-0.20288096201772893
IT-Cpz,2.072941962500767,0.5894805746747223,0.46182843808551183,0.6766375589650354,0.4023407945313964,1.4148542836551503,-0.26887500578308576,-0.2807795569724135,-0.16338634034182786,-0.2626131279091181
IT-Isp,0.715958287178647,0.2604647055348943,0.37818469474294336,0.44818411788372814,0.2197841494677403,0.6041366828522498,-0.2897557446356578,-0.19001248778747015,-0.14341713966874278,-0.08340944946495166
IT-LMa,1.8442279593468969,0.5825452074620943,0.2834061942998848,0.4065706679745004,0.4060718917008141,1.2855468152285092,-0.2528028752645666,-0.5367650690591992,-0.13734000841718969,-0.4148296857351864
IT-Lav,0.8358528491509402,0.5352917715292005,0.3827150392954946,0.5052604652176972,0.40546257916119527,0.6331258391060212,-0.06981293723129367,-0.20375501836762544,0.03144001561820581,-0.09381992468091677
IT-Lsn,1.3349506245050886,0.4528392406521645,0.5700475221950466,0.7676144782466674,0.3362884552100663,0.99136391680632,-0.30316482565451197,-0.11231228744454924,-0.14498882135259267,-0.05073768904037623
IT-MBo,0.7075199554692921,0.47180561108992985,0.41994166414311734,0.558587917143375,0.354699461611001,0.5319075089087124,-0.07419662937799804,-0.07410457833129991,0.020245271096073825,-0.0018712516491096731
IT-Mal,0.6234275677706427,0.22354000487358833,0.25885081509725183,0.3079809573446555,0.1878801630050719,0.5239763375725102,-0.27766953050116355,-0.2661639648638389,-0.14325211467042268,-0.15836314641786287
IT-Noe,2.747304128030134,0.7570880490302534,0.4709669651330251,0.7885093381559659,0.4521994141808549,1.6409310896706903,-0.1454977826849888,-0.1904087064437986,-0.14706693909531748,-0.29100679834703164
IT-Non,0.8486624620433213,0.24011024553619023,0.23233167326311535,0.29030980897062997,0.19215752754218593,0.679175018375171,-0.3703311169287974,-0.4254663952610074,-0.1982793324983371,-0.2667939589351973
IT-PT1,1.9746556325553044,0.8114750027852932,0.7984742579310183,1.2500375309017178,0.5183379575900922,1.2613314815728272,-0.03767587605279654,0.29801618507363403,-0.0205973506976298,0.10560650519567372
